output,time,parameter,S1,ST
CNH,22,kcat1,0.21482843334924503,0.3990431752635182
CNH,22,kcat2,-0.004443275285643163,0.09469380158208794
CNH,22,Km1,0.031406077277017434,0.09242466223526326
CNH,22,Km2,0.0137883521217239,0.083987680251509
CNH,22,Tmax,0.28943100305925573,0.45375210895730894
CNH,22,Ken,0.15680236535518036,0.2324134223713156
CNH,22,kAB,-0.0021811443626024865,0.03747977794970369
CNH,22,kAN,-0.0041760949096056885,0.03929028132435988
CNH,22,kAOH,-0.0014337140666868115,0.03551806519763839
CNH,22,kNH,-0.0007980691160510766,0.0013874215435872401
CNH,23,kcat1,0.21313127939832888,0.3922900553126584
CNH,23,kcat2,-0.003896767205269082,0.09174342949042881
CNH,23,Km1,0.031797392811752555,0.09147709570450015
CNH,23,Km2,0.014953096765940388,0.0843499161504148
CNH,23,Tmax,0.2902439563842002,0.4526461086902951
CNH,23,Ken,0.15664533897348648,0.23130198649452596
CNH,23,kAB,-0.0017723639383556465,0.036437279977839854
CNH,23,kAN,-0.003998538200801728,0.03822406352568249
CNH,23,kAOH,-0.0012560998344402392,0.03447829033525035
CNH,23,kNH,-0.0007885497468741656,0.001483844450909966
CNH,24,kcat1,0.21130228677827131,0.3859026644080559
CNH,24,kcat2,-0.0033330759964851167,0.08929875692838714
CNH,24,Km1,0.0320856625284719,0.09053135781751544
CNH,24,Km2,0.016135854932876965,0.0849157395820977
CNH,24,Tmax,0.29098633877655095,0.4516131051536001
CNH,24,Ken,0.15645062975054666,0.23021386645334915
CNH,24,kAB,-0.001372425972702842,0.03558170517775166
CNH,24,kAN,-0.003854381636605095,0.03726425578521134
CNH,24,kAOH,-0.0010967598900466587,0.03357858112424677
CNH,24,kNH,-0.000776529273603326,0.001582025116983322
CNH,25,kcat1,0.20936343007081346,0.3798284792019711
CNH,25,kcat2,-0.002751965669755352,0.08729757161339624
CNH,25,Km1,0.0322767756589684,0.08956686680175702
CNH,25,Km2,0.017335344115473387,0.08565548771405378
CNH,25,Tmax,0.2916612884752851,0.45064249026791675
CNH,25,Ken,0.15621957313737186,0.22914757955527057
CNH,25,kAB,-0.0009817985690733103,0.03489228635221626
CNH,25,kAN,-0.003731076813214041,0.03640384446969882
CNH,25,kAOH,-0.0009522590306871907,0.03280123977632244
CNH,25,kNH,-0.0007618137805815387,0.0016815705193499342
CNH,26,kcat1,0.20737211555013346,0.3740221554819667
CNH,26,kcat2,-0.002152246861176716,0.08569525097693374
CNH,26,Km1,0.032381203226451286,0.08857723988261913
CNH,26,Km2,0.018533175646431935,0.08655355096511197
CNH,26,Tmax,0.29231777044793134,0.44978183618175005
CNH,26,Ken,0.15599221162730137,0.22812643963096257
CNH,26,kAB,-0.0005967652058841105,0.034352682221877436
CNH,26,kAN,-0.003614880379497348,0.03563636057987982
CNH,26,kAOH,-0.0008193874044607105,0.032132364182909566
CNH,26,kNH,-0.0007441982593823964,0.0017818742944187367
