initial_condition,time,output,parameter,S1,ST
40_100,170,0,kNH,0.005928779833972382,0.06235999930809087
40_100,170,1,kcat1,0.021335614203652545,0.27123033916692113
40_100,170,1,kcat2,0.18848232624260292,0.3798673559446267
40_100,170,1,Km1,0.002029765523058548,0.11328946754164117
40_100,170,1,Km2,0.1303591942837651,0.415103284463449
40_100,170,1,Tmax,0.2431059372950269,0.5019855438215081
40_100,170,1,Ken,0.023877001542195967,0.16815493067960122
40_100,170,1,kAB,0.028360187293914554,0.10985754793463764
40_100,170,1,kAN,-0.0023345214184542678,0.030401157734325484
40_100,170,1,kAOH,-0.013198692881658706,0.5331903777362804
40_100,170,1,kNH,0.029864997162641713,0.06773431123963809
40_100,170,2,kcat1,0.017184470588210776,0.22208312040772926
40_100,170,2,kcat2,0.16602572360510756,0.36934249918506745
40_100,170,2,Km1,-0.0006236815040209625,0.1724249689340211
40_100,170,2,Km2,0.11896424126714117,0.45352030411118555
40_100,170,2,Tmax,0.22395636178428674,0.5200867808144866
40_100,170,2,Ken,0.02227040891322696,0.15667470745263537
40_100,170,2,kAB,0.023900796686527608,0.10288523685552455
40_100,170,2,kAN,-0.00470634263758391,0.09593235225299314
40_100,170,2,kAOH,-0.014891194592922078,0.5213126577145739
40_100,170,2,kNH,0.0278239943842806,0.06310997456385271
40_100,170,3,kcat1,0.4560991496521671,0.6277538466043324
40_100,170,3,kcat2,0.05525915361609756,0.23040239250847638
40_100,170,3,Km1,0.08810338723196767,0.22150005434736908
40_100,170,3,Km2,0.04107798440509317,0.15686431895139674
40_100,170,3,Tmax,0.07909960186176955,0.20498967857288025
40_100,170,3,Ken,0.011400306151824389,0.09427467139271681
40_100,170,3,kAB,0.02871683821505963,0.16285221767318683
40_100,170,3,kAN,0.028655811351539363,0.09111399756200933
40_100,170,3,kAOH,0.09405311375347286,0.3541977192577469
40_100,170,3,kNH,0.012160975883467028,0.07229937738564765
40_100,171,0,kcat1,0.5670517816629964,0.8168187441195592
40_100,171,0,kcat2,0.008493348667066932,0.15553794636496512
40_100,171,0,Km1,0.09457498635240913,0.2985885387570936
40_100,171,0,Km2,0.005152762387910651,0.0679692995382778
40_100,171,0,Tmax,0.017112558159436846,0.18025662934390005
40_100,171,0,Ken,0.006624329419682243,0.06327560005897762
40_100,171,0,kAB,0.025648229954952518,0.17362707340134542
40_100,171,0,kAN,0.033248527994651195,0.10310001350772166
40_100,171,0,kAOH,0.0844480683693446,0.2522175132992021
40_100,171,0,kNH,0.005966766458693049,0.06320862894075388
40_100,171,1,kcat1,0.020918082844439766,0.27354389156606385
40_100,171,1,kcat2,0.18863570231297194,0.3834663824746516
40_100,171,1,Km1,0.0020402842970369695,0.11708900331516689
40_100,171,1,Km2,0.129923562376747,0.42389200654229486
40_100,171,1,Tmax,0.24067363987631657,0.501244880325245
40_100,171,1,Ken,0.02394997339150023,0.17483863637116184
40_100,171,1,kAB,0.028289730185602716,0.11194637138499454
40_100,171,1,kAN,-0.0022514171757209143,0.03126455780941798
40_100,171,1,kAOH,-0.01282718407836421,0.5213833410114906
40_100,171,1,kNH,0.029871680869543952,0.06795693376659298
40_100,171,2,kcat1,0.016869164374263765,0.22452337898776398
40_100,171,2,kcat2,0.16637614975809634,0.36796768033440613
40_100,171,2,Km1,-0.0004895113564628814,0.17578997052816345
40_100,171,2,Km2,0.11871010905806317,0.4615974109711912
40_100,171,2,Tmax,0.22186525800372944,0.5194060023408771
40_100,171,2,Ken,0.022344095405496624,0.16293927211311177
40_100,171,2,kAB,0.023965090112494564,0.10444082158538462
40_100,171,2,kAN,-0.0045056391500836014,0.09654169021081253
40_100,171,2,kAOH,-0.014424216810496148,0.5102579194471638
40_100,171,2,kNH,0.0278366657296179,0.06333184445262575
40_100,171,3,kcat1,0.45558273702579316,0.6290591978372427
40_100,171,3,kcat2,0.05549657077801114,0.23168310761473787
40_100,171,3,Km1,0.08787171399115554,0.22298102066801517
40_100,171,3,Km2,0.04106498241328239,0.15992343897060535
40_100,171,3,Tmax,0.07881649325832178,0.20653876677676786
