output,time,parameter,S1,ST
CAB,52,k5,-0.0005538705485179077,0.0030627975013303517
CAB,52,KS,0.14041369984394939,0.42071818285049
CAB,52,KP,0.08840150119374492,0.3619883609831757
CAB,52,KN,0.012617700303411923,0.16956194417349088
CAB,52,kmenos4,0.030123602368376693,0.14048992126928747
CAB,53,k2,0.09220103117602114,0.618253348731884
CAB,53,k3,0.014196900298450258,0.07893960664045123
CAB,53,k4,0.015792866513603426,0.05343686003100567
CAB,53,k5,-0.0005338003806045283,0.0030334101783478663
CAB,53,KS,0.13822000937314496,0.4207355080874997
CAB,53,KP,0.08811977664984931,0.3657026273555363
CAB,53,KN,0.012797900059053213,0.17899422108749188
CAB,53,kmenos4,0.030080644497577646,0.14103023063482126
CAB,54,k2,0.09141200632061629,0.6395606311421225
CAB,54,k3,0.01461363686289822,0.08128416812257715
CAB,54,k4,0.016023514920228462,0.05381929275099941
CAB,54,k5,-0.0005128349736939033,0.0029954053806984676
CAB,54,KS,0.13611060566178707,0.4210661001519138
CAB,54,KP,0.08783164876506709,0.3696548187947035
CAB,54,KN,0.012972419893875368,0.1889960596703865
CAB,54,kmenos4,0.030030521344150865,0.14178863846775677
CAB,55,k2,0.09065359843669783,0.6598388130927262
CAB,55,k3,0.015028144962008104,0.08377212871573177
CAB,55,k4,0.01624694779684559,0.05422603324755632
CAB,55,k5,-0.0004917218486522835,0.0029487651517086945
CAB,55,KS,0.1340821545667986,0.4217037625133117
CAB,55,KP,0.0875386462909803,0.3738485083026373
CAB,55,KN,0.013139112747414623,0.1995768517671012
CAB,55,kmenos4,0.029972852827855362,0.14275710079209794
CAB,56,k2,0.08992467390173754,0.678805103648815
CAB,56,k3,0.015440742381159745,0.08640560570147592
CAB,56,k4,0.016462819353466406,0.05465515772952434
CAB,56,k5,-0.00047119557079119403,0.002893214774799245
CAB,56,KS,0.13212608198519715,0.42266818257853744
CAB,56,KP,0.08723812786808527,0.3782903528890955
CAB,56,KN,0.01329745946072019,0.21072749853770315
CAB,56,kmenos4,0.0299073883416212,0.14393838033875977
CAB,57,k2,0.08922265324893382,0.6962358451183562
CAB,57,k3,0.015850340008085953,0.08919076246368912
CAB,57,k4,0.01667036448483042,0.055106282907304203
CAB,57,k5,-0.00044997406379125403,0.0028293698675076503
CAB,57,KS,0.1302402069633409,0.42396074807674844
CAB,57,KP,0.08693030870875618,0.3829744368176524
CAB,57,KN,0.01344891892437338,0.22242627437757023
CAB,57,kmenos4,0.02983375622628114,0.14533515430446747
CAB,58,k2,0.08854634489407347,0.7119154418398347
CAB,58,k3,0.016258510901053628,0.09211841876480159
CAB,58,k4,0.016871918875132962,0.05557817922544241
CAB,58,k5,-0.0004278139293251206,0.0027563426252200187
CAB,58,KS,0.1284193818553682,0.42557985839987866
CAB,58,KP,0.08661736572530643,0.3878899178301361
CAB,58,KN,0.013593356836114854,0.23467627829487495
CAB,58,kmenos4,0.02975372619943012,0.1469405778512933
CAB,59,k2,0.08789506857881142,0.7256131137570425
CAB,59,k3,0.01666280446272016,0.09519989985729045
CAB,59,k4,0.017065109237343338,0.05607150621744664
CAB,59,k5,-0.0004048678866334877,0.002674926588704314
CAB,59,KS,0.1266617856953518,0.42753100574654596
CAB,59,KP,0.08629428870407772,0.3930362647100442
CAB,59,KN,0.01372967999032248,0.24743763423863455
CAB,59,kmenos4,0.02966587934888597,0.14876881975943626
CAB,60,k2,0.08726843129796262,0.7372241153507527
CAB,60,k3,0.01706237714977453,0.0984213682046694
CAB,60,k4,0.017250172459034374,0.05658104337230465
CAB,60,k5,-0.00038244970372533347,0.0025853083024911087
CAB,60,KS,0.12496204658477923,0.4298156171271628
CAB,60,KP,0.0859623587373002,0.39840659138192475
CAB,60,KN,0.013857896156332773,0.2606960298879751
CAB,60,kmenos4,0.029570893817770835,0.15080199540947517
CAB,61,k2,0.08666429077238795,0.746560247992457
CAB,61,k3,0.017457963854143856,0.10179227564831063
CAB,61,k4,0.01742722095253071,0.057109719127901054
CAB,61,k5,-0.0003591856724413374,0.0024902135400552664
CAB,61,KS,0.12331635637060438,0.4324283213038343
CAB,61,KP,0.08562235217685403,0.4039942486162697
CAB,61,KN,0.013979220611889958,0.27441871136922286
CAB,61,kmenos4,0.029469898495814797,0.15304699500853178
CAB,62,k2,0.08608261510939418,0.7534867960068562
CAB,62,k3,0.017847718678281835,0.1053104100784397
CAB,62,k4,0.01759546002967601,0.05765538919175276
CAB,62,k5,-0.0003356021579959037,0.002391735677398437
